timestamp,covered
1742033531,4286
1742033591,4376
1742033652,4377
1742033712,4430
1742033772,4430
1742033833,4430
1742033893,4430
1742033954,4430
1742034014,4430
1742034075,4433
1742034135,4466
1742034196,4466
1742034256,4473
1742034317,4515
1742034377,4515
1742034438,4518
1742034498,4550
1742034558,4550
1742034619,4550
1742034680,4567
1742034740,4567
1742034800,4567
1742034861,4567
1742034921,4567
1742034982,4572
1742035043,4572
1742035103,4572
1742035163,4581
1742035224,4582
1742035284,4582
1742035345,4587
1742035405,4587
1742035466,4587
1742035526,4587
1742035587,4587
1742035648,4587
1742035708,4591
1742035769,4591
1742035829,4592
1742035890,4592
1742035950,4592
1742036011,4592
1742036071,4597
1742036132,4597
1742036192,4597
1742036253,4597
1742036314,4597
1742036374,4597
1742036435,4597
1742036495,4597
1742036556,4600
1742036616,4600
1742036677,4600
1742036738,4600
1742036798,4603
1742036859,4613
1742036919,4615
1742036979,4615
1742037040,4615
1742037101,4615
1742037161,4615
1742037222,4615
1742037282,4618
1742037343,4618
1742037403,4620
1742037464,4620
1742037524,4620
1742037585,4620
1742037646,4620
1742037706,4620
1742037767,4628
1742037827,4628
1742037888,4628
1742037949,4629
1742038009,4629
1742038070,4629
1742038130,4629
1742038191,4629
1742038251,4629
1742038312,4629
1742038372,4629
1742038433,4629
1742038494,4629
1742038554,4629
1742038615,4629
1742038675,4629
1742038736,4629
1742038796,4630
1742038857,4630
1742038917,4630
1742038978,4630
1742039039,4630
1742039099,4630
1742039160,4630
1742039220,4633
1742039281,4633
1742039341,4633
1742039402,4633
1742039463,4633
1742039523,4633
1742039584,4633
1742039644,4633
1742039705,4633
1742039766,4633
1742039826,4633
1742039887,4633
1742039947,4633
1742040008,4633
1742040068,4633
1742040129,4633
1742040189,4633
1742040250,4633
1742040311,4633
1742040371,4633
1742040432,4635
1742040492,4635
1742040553,4643
1742040614,4643
1742040674,4643
1742040735,4643
1742040795,4643
1742040856,4643
1742040916,4643
1742040977,4643
1742041037,4643
1742041098,4643
1742041159,4643
1742041219,4643
1742041280,4645
1742041340,4645
1742041401,4645
1742041461,4645
1742041522,4647
1742041582,4647
1742041643,4647
1742041703,4649
1742041764,4649
1742041824,4649
1742041885,4649
1742041946,4649
1742042006,4651
1742042067,4651
1742042127,4651
1742042188,4651
1742042248,4685
1742042309,4685
1742042369,4685
1742042430,4685
1742042491,4685
1742042551,4685
1742042612,4685
1742042672,4685
1742042733,4685
1742042793,4685
1742042854,4685
1742042914,4690
1742042975,4690
1742043036,4690
1742043096,4690
1742043157,4691
1742043217,4691
1742043278,4691
1742043338,4691
1742043399,4691
1742043460,4691
1742043520,4691
1742043581,4691
1742043641,4692
1742043702,4692
1742043763,4692
1742043823,4692
1742043884,4693
1742043944,4693
1742044005,4693
1742044065,4693
1742044126,4693
1742044187,4693
1742044247,4693
1742044308,4693
1742044368,4693
1742044429,4696
1742044489,4696
1742044550,4696
1742044611,4696
1742044671,4696
1742044732,4696
1742044792,4696
1742044853,4696
1742044913,4696
1742044974,4696
1742045035,4724
1742045095,4724
1742045156,4724
1742045216,4724
1742045277,4724
1742045338,4724
1742045398,4724
1742045459,4724
1742045519,4724
1742045580,4724
1742045640,4724
1742045701,4728
1742045761,4728
1742045822,4728
1742045882,4728
1742045943,4728
1742046003,4728
1742046064,4728
1742046124,4728
1742046185,4728
1742046245,4728
1742046306,4728
1742046367,4728
1742046427,4728
1742046488,4728
1742046548,4728
1742046609,4728
1742046669,4728
1742046730,4728
1742046791,4728
1742046851,4728
1742046912,4728
1742046972,4728
1742047033,4728
1742047093,4728
